symbol,cluster,n,pnl_total,pnl_per_trade,win_rate,maxdd_worst,L_target_unr
APT/USDT,2,3,0.08789999999999999,0.029299999999999996,66.66666666666666,26.8528,1.0
MANA/USDT,1,4,0.07930000000000001,0.019825000000000002,25.0,32.7757,1.0
ONDO/USDT,2,9,-0.055900000000000005,-0.006211111111111112,33.33333333333333,7.1747,3.484466249459908
BNB/USDT,0,6,-0.0963,-0.01605,16.666666666666664,11.1405,2.2440644495309905
SHIB/USDT,1,3,-0.0584,-0.019466666666666667,33.33333333333333,14.9824,1.6686245194361384
SAND/USDT,1,5,-0.137,-0.0274,60.0,56.2819,1.0
TAO/USDT,0,3,-0.09019999999999997,-0.030066666666666658,33.33333333333333,22.3872,1.1167095483133218
ENA/USDT,0,5,-0.18660000000000002,-0.037320000000000006,0.0,18.665,1.339405304045004
GRT/USDT,0,4,-0.19240000000000002,-0.048100000000000004,25.0,14.777,1.6918183663801856
SEI/USDT,0,5,-0.2493,-0.04986,20.0,11.8057,2.1176211491059402
RENDER/USDT,1,7,-0.3677,-0.05252857142857143,28.57142857142857,18.8229,1.328169410664669
